Player,Team,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
Darren Fells,HOU,33,TE,16,14,48,34,341,22,173,5.1,168,4.9,2,17,3,6.3
Adam Thielen,MIN,29,WR,10,10,48,30,418,18,301,10,117,3.9,2,15,1,2.1
Taylor Gabriel,CHI,28,WR,9,7,48,29,353,17,274,9.4,79,2.7,0,,3,6.3
Chris Carson,SEA,25,RB,15,15,47,37,266,10,-29,-0.8,295,8,6,6.2,3,6.4
Adam Humphries,TEN,26,WR,12,3,47,37,374,20,254,6.9,120,3.2,0,,1,2.1
David Johnson,ARI,28,RB,13,9,47,36,370,17,148,4.1,222,6.2,2,18,2,4.3
Irv Smith Jr.,MIN,21,TE,16,7,47,36,311,17,175,4.9,136,3.8,0,,1,2.1
Allen Hurns,MIA,28,WR,14,7,47,32,416,18,300,9.4,116,3.6,1,32,2,4.3
Josh Gordon,2TM,28,WR,11,7,47,27,426,16,284,10.5,142,5.3,4,6.8,2,4.3
Trey Quinn,WAS,24,WR,12,6,47,26,198,10,137,5.3,61,2.3,0,,1,2.1
Dare Ogunbowale,TAM,25,RB,16,0,46,35,286,14,79,2.3,207,5.9,2,17.5,2,4.3
Damiere Byrd,ARI,26,WR,11,3,46,32,359,16,209,6.5,150,4.7,3,10.7,1,2.2
Willie Snead,BAL,27,WR,16,11,46,31,339,20,213,6.9,126,4.1,1,31,1,2.2
Jamaal Williams,GNB,24,RB,14,2,45,39,253,16,-26,-0.7,279,7.2,10,3.9,1,2.2
Joe Mixon,CIN,23,RB,16,15,45,35,287,14,-44,-1.3,331,9.5,4,8.8,1,2.2
Olabisi Johnson,MIN,22,WR,16,6,45,31,294,17,226,7.3,68,2.2,0,,0,0
Zay Jones,2TM,24,WR,15,9,45,27,216,10,139,5.1,77,2.9,0,,1,2.2
Kareem Hunt,CLE,24,RB,8,3,44,37,285,17,9,0.2,276,7.5,4,9.3,2,4.5
Jonnu Smith,TEN,24,TE,16,14,44,35,439,16,166,4.7,273,7.8,6,5.8,2,4.5
Kendrick Bourne,SFO,24,WR,16,0,44,30,358,23,236,7.9,122,4.1,2,15,3,6.8
Kelvin Harmon,WAS,23,WR,16,8,44,30,365,16,271,9,94,3.1,2,15,2,4.5
Jalen Richard,OAK,26,RB,16,0,43,36,323,15,87,2.4,236,6.6,1,36,3,7
Latavius Murray,NOR,29,RB,16,8,43,34,235,9,-49,-1.4,284,8.4,5,6.8,3,7
Nick Boyle,BAL,26,TE,16,15,43,31,321,13,161,5.2,160,5.2,0,,2,4.7
Giovani Bernard,CIN,28,RB,16,2,43,30,234,7,32,1.1,202,6.7,3,10,2,4.7
Josh Reynolds,LAR,24,WR,16,2,43,21,326,15,187,8.9,139,6.6,6,3.5,3,7
J.D. McKissic,DET,26,RB,16,3,42,34,233,7,-4,-0.1,237,7,3,11.3,0,0
Kaden Smith,NYG,22,TE,9,6,42,31,268,12,177,5.7,91,2.9,1,31,1,2.4
Paul Richardson,WAS,27,WR,10,6,42,28,245,13,195,7,50,1.8,0,,2,4.8
Cody Latimer,NYG,27,WR,15,10,42,24,300,19,231,9.6,69,2.9,0,,1,2.4
KeeSean Johnson,ARI,23,WR,10,4,42,21,187,10,144,6.9,43,2,0,,3,7.1
DeAndre Washington,OAK,26,RB,16,3,41,36,292,10,46,1.3,246,6.8,0,,2,4.9
Ryan Griffin,NYJ,29,TE,13,13,41,34,320,19,138,4.1,182,5.4,2,17,2,4.9
Blake Jarwin,DAL,25,TE,16,7,41,31,365,17,208,6.7,157,5.1,1,31,1,2.4
Devin Singletary,BUF,22,RB,12,8,41,29,194,5,1,0,193,6.7,3,9.7,4,9.8
Mecole Hardman,KAN,21,WR,16,5,41,26,538,18,246,9.5,292,11.2,2,13,1,2.4
Jakobi Meyers,NWE,23,WR,15,1,41,26,359,17,245,9.4,114,4.4,3,8.7,2,4.9
Ronald Jones II,TAM,22,RB,16,9,40,31,309,12,19,0.6,290,9.4,5,6.2,1,2.5
Greg Ward,PHI,24,WR,7,3,40,28,254,18,160,5.7,94,3.4,1,28,0,0
C.J. Uzomah,CIN,26,TE,16,16,40,27,242,12,107,4,135,5,1,27,2,5
Jeremy Sprinkle,WAS,25,TE,16,13,40,26,241,13,150,5.8,91,3.5,0,,4,10
Hayden Hurst,BAL,26,TE,16,4,39,30,349,16,201,6.7,148,4.9,1,30,0,0
Isaiah McKenzie,BUF,24,WR,15,8,39,27,254,12,48,1.8,206,7.6,1,27,2,5.1
Javon Wims,CHI,25,WR,16,6,39,18,186,9,141,7.8,45,2.5,0,,3,7.7
James Conner,PIT,24,RB,10,10,38,34,251,14,-47,-1.4,298,8.8,8,4.3,1,2.6
Rex Burkhead,NWE,29,RB,13,1,38,27,279,10,50,1.9,229,8.5,3,9,2,5.3
Damien Williams,KAN,27,RB,11,6,37,30,213,10,-17,-0.6,230,7.7,5,6,2,5.4
Bennie Fowler,NYG,28,WR,8,2,36,23,193,12,164,7.1,29,1.3,1,23,2,5.6
